w,w_part_of_speech,w_romaji,w_meaning,s_kanji,s_hiragana,s_romaji,s_meaning
行く,iku,Verb,go,日曜日 は 図書館 に 行きます 。,にちようび は としょかん に いきます。,nichiyoubi ha toshokan ni ikimasu.,I go to the library on Sundays.
行く,iku,Verb,go,私 は 夏休み に プール に 行った 。,わたし は なつやすみ に ぷーる に いった。,watashi ha natsuyasumi ni pu-ru ni itta.,I went to the pool during summer vacation.
見る,miru,Verb,"see, look at",私 は 絵 を 見る の が 好き です 。,わたし は え を みる の が すき です。,watashi ha e wo miru no ga suki desu.,I like looking at pictures.
見る,miru,Verb,"see, look at",仕事 の あと 、 映画 を 見た 。,しごと の あと、 えいが を みた。,"shigoto no ato, eiga wo mita.",I saw a movie after work.
多い,ooi,Adjective,"a lot of, many",京都 に は お寺 が 多い。,きょうと に は おてら が おおい。,kyouto ni ha otera ga ooi.,There are a lot of temples in Kyoto.
多い,ooi,Adjective,"a lot of, many",この 道 は 車 が 多い 。,この みち は くるま が おおい。,kono michi ha kuruma ga ooi.,There are many cars on this road.
家,uchi,Noun,"home, household",家 に 遊び に きて ください 。,うち に あそび に きて ください。,uchi ni asobi ni kite kudasai.,Please come over to my home.
家,uchi,Noun,"home, household",夏休み に お祖母ちゃん の 家 へ 行きました 。,なつやすみ に おばあちゃん の うち へ いきました。,natsuyasumi ni obaachan no uchi he ikimashita.,I went to my grandma's house during summer vacation.
これ,kore,Pronoun,"this, this one",これ を ください 。,これ を ください。,kore wo kudasai.,I'll have this please.
これ,kore,Pronoun,"this, this one",これ は あなた の 鞄 です か 。,これ は あなた の かばん です か。,kore ha anata no kaban desu ka.,Is this your bag?
それ,sore,Pronoun,"that, that one",それ は とても いい 話 だ 。,それ は とても いい はなし だ。,sore ha totemo ii hanashi da.,That's a really nice story.
それ,sore,Pronoun,"that, that one",それ を 一つ ください 。,それ を ひとつ ください。,sore wo hitotsu kudasai.,Please give me that one.
私,watashi,Pronoun,I (general),私 が 行きましょう 。,わたし が いきましょう。,watashi ga ikimashou.,I'll go.
